id,host_neighbourhood,zipcode,property_type,neighbourhood_group_cleansed,review_scores_rating
2318,Minor,98122,House,Central Area,98
5682,South Delridge,98106,Guest suite,Delridge,88
6606,Wallingford,98103,Guesthouse,Other neighborhoods,100
9419,Georgetown,98108,Apartment,Other neighborhoods,99
9460,First Hill,98101,Condominium,Downtown,97
9531,The Junction,98136,House,West Seattle,95
9534,The Junction,98136,Guest suite,West Seattle,95
9596,Wallingford,98103,Apartment,Other neighborhoods,99
9909,The Junction,98126,House,West Seattle,96
10209,High Point,98106,House,Delridge,98
11012,Wallingford,98103,House,Other neighborhoods,97
14386,Green Lake,98103,House,Other neighborhoods,80
15108,Green Lake,98103,House,Other neighborhoods,94
15749,Green Lake,98115,House,Other neighborhoods,93
17229,High Point,98106,House,Delridge,96
17951,The Junction,98136,Guest suite,West Seattle,97
19619,Belltown,98121,Condominium,Downtown,98
20927,Ballard,98107,Guesthouse,Ballard,96
20928,Ballard,98107,Guest suite,Ballard,97
23192,Capitol Hill,98102,Apartment,Capitol Hill,91
24212,Belltown,98121,Condominium,Downtown,93
25002,Ballard,98117,Guest suite,Ballard,93
26116,Capitol Hill,98102,Apartment,Capitol Hill,91
26795,Eastlake,98102,Cottage,Cascade,91
30712,Ballard,98117,Apartment,Ballard,92
38545,Wallingford,98103,House,Other neighborhoods,95
41401,North Beacon Hill,98108,House,Beacon Hill,100
43373,Wallingford,98103,House,Other neighborhoods,100
47491,Wedgewood,98115,House,Other neighborhoods,97
48848,Windermere,98115,Apartment,Other neighborhoods,97
52525,Wedgewood,98115,House,Other neighborhoods,100
58503,Phinney Ridge,98103,House,Other neighborhoods,97
63733,Ballard,98107,Apartment,Ballard,99
66540,Wedgewood,98115,House,Other neighborhoods,
66611,Wedgewood,98115,House,Other neighborhoods,95
67270,Columbia City,98118,House,Seward Park,98
68508,Capitol Hill,98102,Apartment,Capitol Hill,97
77149,Broadway,98102,Apartment,Capitol Hill,86
84271,Stevens,98112,Guest suite,Capitol Hill,94
86185,North Admiral,98116,House,West Seattle,96
107884,North Admiral,98116,Apartment,West Seattle,96
107962,Haller Lake,98133,Guesthouse,Northgate,91
108765,North Beacon Hill,98108,Guesthouse,Beacon Hill,99
116221,Fremont,98103,Apartment,Other neighborhoods,95
117165,Alki,98116,House,West Seattle,95
119103,Fremont,98103,Guesthouse,Other neighborhoods,94
132120,Wallingford,98103,Apartment,Other neighborhoods,97
132160,Green Lake,98103,Guest suite,Other neighborhoods,92
134091,Capitol Hill,98102,Apartment,Capitol Hill,95
136480,Seward Park,98118,House,Seward Park,95
140331,Harrison/Denny-Blaine,98112,House,Central Area,89
143580,North Beacon Hill,98144,Condominium,Beacon Hill,96
143704,Minor,98122,House,Central Area,94
151545,Portage Bay,98102,Condominium,Capitol Hill,94
158345,Ballard,98107,House,Ballard,97
162563,Minor,98122,Townhouse,Central Area,84
170273,Lower Queen Anne,98119,House,Queen Anne,90
175576,Queen Anne,98119,House,Queen Anne,98
186328,Queen Anne,98109,House,Queen Anne,95
189156,Seaview,98136,Apartment,West Seattle,98
190984,Columbia City,98118,Apartment,Rainier Valley,100
192666,North Admiral,98116,Townhouse,West Seattle,89
193836,Gatewood,98136,House,West Seattle,96
202251,Phinney Ridge,98117,House,Other neighborhoods,93
202260,Bryant,98115,Apartment,Other neighborhoods,93
208670,Capitol Hill,98102,House,Capitol Hill,97
210316,Crown Hill,98117,House,Other neighborhoods,96
215882,Columbia City,98118,Bungalow,Rainier Valley,95
217142,Belltown,98121,Condominium,Downtown,95
218741,Ballard,98117,House,Ballard,89
219532,Fremont,98107,House,Other neighborhoods,88
222885,Phinney Ridge,98117,House,Other neighborhoods,84
224763,Belltown,98121,Condominium,Downtown,95
225820,Phinney Ridge,98117,House,Other neighborhoods,97
226495,Fremont,98117,Apartment,Ballard,91
226536,Magnolia,98199,Cottage,Magnolia,100
226677,Georgetown,98108,Apartment,Other neighborhoods,95
227636,Ballard,98107,Apartment,Ballard,96
229990,Alki,98116,House,West Seattle,97
231097,Mathews Beach,98125,Guest suite,Lake City,90
233502,North Admiral,98126,House,West Seattle,89
241016,Queen Anne,98119,House,Queen Anne,98
241032,Queen Anne,98119,Apartment,Queen Anne,91
243885,Wallingford,98105,House,Other neighborhoods,93
251922,North Admiral,98116,House,West Seattle,95
254340,Phinney Ridge,98117,Apartment,Other neighborhoods,86
260613,Ballard,98117,Guest suite,Ballard,100
261912,Green Lake,98103,House,Other neighborhoods,99
270370,North Beach/Blue Ridge,98117,House,Other neighborhoods,99
271509,Belltown,98121,Condominium,Downtown,96
277416,Belltown,98121,Condominium,Downtown,87
278830,Queen Anne,98119,House,Queen Anne,97
279209,Ballard,98117,House,Ballard,90
281208,Capitol Hill,98144,House,Central Area,94
281789,Capitol Hill,98102,Bed and breakfast,Capitol Hill,96
284087,First Hill,98101,Condominium,Downtown,96
286080,Belltown,98121,Condominium,Downtown,97
299817,Stevens,98112,House,Capitol Hill,100
301059,Belltown,98121,Condominium,Downtown,96
303277,Eastlake,98102,Condominium,Cascade,94
311790,Eastlake,98102,Apartment,Cascade,94
317248,Capitol Hill,98102,Apartment,Capitol Hill,97
319768,Atlantic,98144,House,Central Area,91
338090,Capitol Hill,98122,Apartment,Capitol Hill,100
338091,Capitol Hill,98102,Apartment,Capitol Hill,96
340706,Wallingford,98103,Apartment,Other neighborhoods,98
341454,Minor,98122,Apartment,Central Area,96
353039,First Hill,98122,Apartment,Downtown,95
353110,North Admiral,98116,Guesthouse,West Seattle,97
353347,Arbor Heights,98146,House,West Seattle,94
356248,Portage Bay,98102,Apartment,Capitol Hill,92
356608,First Hill,98122,Apartment,Downtown,100
365550,International District,98104,Loft,Downtown,97
368403,Green Lake,98103,House,Other neighborhoods,97
370361,Greenwood,98117,House,Other neighborhoods,98
380950,Fremont,98107,House,Other neighborhoods,98
384797,Capitol Hill,98102,House,Capitol Hill,96
387078,Capitol Hill,98102,Apartment,Capitol Hill,100
387464,Ravenna,98115,House,Other neighborhoods,97
392140,North Beacon Hill,98144,Townhouse,Beacon Hill,93
392779,North Beacon Hill,98144,Guest suite,Beacon Hill,72
408526,Ballard,98107,House,Ballard,94
413733,Madrona,98122,Guest suite,Central Area,96
421168,,98103,Guesthouse,Other neighborhoods,94
430609,Wallingford,98103,House,Other neighborhoods,98
430610,Wallingford,98103,House,Other neighborhoods,97
433842,Green Lake,98103,Apartment,Other neighborhoods,100
443942,Belltown,98121,Apartment,Downtown,97
445199,North Delridge,98106,House,Delridge,97
447523,Wedgewood,98115,House,Other neighborhoods,98
451012,Broadview,98177,House,Other neighborhoods,100
461234,Ballard,98117,Apartment,Ballard,92
